                                        	0000	T	NR14                                                                                                                                	BS AA X   F
SAPMNPB2                                	0100	X	                                                                                                                                    	
                                        	0000	 	BDC_CURSOR                                                                                                                          	RNPB2-ORGID
                                        	0000	 	BDC_OKCODE                                                                                                                          	=AUSF
                                        	0000	 	RNPB2-EINRI                                                                                                                         	PIK
                                        	0000	 	RNPB2-ORGID                                                                                                                         	KLINIK3
                                        	0000	 	RNPB2-SELDT                                                                                                                         	27.03.2026
SAPMSSY0                                	0120	X	                                                                                                                                    	
                                        	0000	 	BDC_CURSOR                                                                                                                          	07/03
                                        	0000	 	BDC_OKCODE                                                                                                                          	=BDSP
SAPLNAMB                                	0500	X	                                                                                                                                    	
                                        	0000	 	BDC_CURSOR                                                                                                                          	RNPB2-DPSOE
                                        	0000	 	BDC_OKCODE                                                                                                                          	=BACK
                                        	0000	 	RNPB2-DPSOE                                                                                                                         	KLINIK3
                                        	0000	 	RNPB2-DPSDT                                                                                                                         	27.03.2026
SAPMSSY0                                	0120	X	                                                                                                                                    	
                                        	0000	 	BDC_OKCODE                                                                                                                          	=PZ 132
SAPMSSY0                                	0120	X	                                                                                                                                    	
                                        	0000	 	BDC_CURSOR                                                                                                                          	27/14
                                        	0000	 	BDC_OKCODE                                                                                                                          	=SEDP
SAPLN_MDY_PLANNING                      	0100	X	                                                                                                                                    	
                                        	0000	 	BDC_OKCODE                                                                                                                          	=ENTR
                                        	0000	 	BDC_SUBSCR                                                                                                                          	SAPLN_SDY_COLLAPSIBLE                   0100PATIENT
                                        	0000	 	BDC_SUBSCR                                                                                                                          	SAPLN1_SDY_PATIENT_ADDON                0100G_CO_SUBSCREEN
                                        	0000	 	BDC_SUBSCR                                                                                                                          	SAPLN1_SDY_PATIENT_SUBSCREEN            0100SC_PATIENT
                                        	0000	 	BDC_SUBSCR                                                                                                                          	SAPLN1VPS                               0100G_PATIENT
                                        	0000	 	BDC_SUBSCR                                                                                                                          	SAPLNADR                                1200D_ADRESS
                                        	0000	 	BDC_SUBSCR                                                                                                                          	SAPLNADR                                0750TELEPHONE
                                        	0000	 	BDC_SUBSCR                                                                                                                          	SAPLN1_SDY_PATIENT_ADDON                0110SC_ADDON
                                        	0000	 	BDC_SUBSCR                                                                                                                          	SAPLN_SDY_PLANNING                      0100APPOINTMENT
                                        	0000	 	BDC_SUBSCR                                                                                                                          	SAPLN_SDY_PLANNING                      0110APPOINTMENT_TABSTRIP
                                        	0000	 	BDC_CURSOR                                                                                                                          	RNAPP_EDIT-BEKAT
                                        	0000	 	RNAPP_EDIT-BWIDT                                                                                                                    	27.03.2026
                                        	0000	 	RNAPP_EDIT-APPTI                                                                                                                    	19:55
                                        	0000	 	RNAPP_EDIT-ORGPF                                                                                                                    	KLINIK3
                                        	0000	 	RNAPP_EDIT-DSPTY                                                                                                                    	05
                                        	0000	 	RNAPP_EDIT-ORGFA                                                                                                                    	KLINIK
                                        	0000	 	RNAPP_EDIT-DAUER                                                                                                                    	5
                                        	0000	 	RNAPP_EDIT-STATB                                                                                                                    	P
                                        	0000	 	RNAPP_EDIT-PERNR                                                                                                                    	100001
                                        	0000	 	RNAPP_EDIT-ZIMMR                                                                                                                    	RUANG-27
                                        	0000	 	RNAPP_EDIT-BWART                                                                                                                    	PK
                                        	0000	 	RNAPP_EDIT-BEKAT                                                                                                                    	RAWJLN
                                        	0000	 	BDC_SUBSCR                                                                                                                          	SAPLN_SDY_PLANNING                      0130COMMENT
SAPLN_MDY_PLANNING                      	0100	X	                                                                                                                                    	
                                        	0000	 	BDC_OKCODE                                                                                                                          	=ENTR
                                        	0000	 	BDC_SUBSCR                                                                                                                          	SAPLN_SDY_COLLAPSIBLE                   0100PATIENT
                                        	0000	 	BDC_SUBSCR                                                                                                                          	SAPLN1_SDY_PATIENT_ADDON                0100G_CO_SUBSCREEN
                                        	0000	 	BDC_SUBSCR                                                                                                                          	SAPLN1_SDY_PATIENT_SUBSCREEN            0100SC_PATIENT
                                        	0000	 	BDC_SUBSCR                                                                                                                          	SAPLN1VPS                               0100G_PATIENT
                                        	0000	 	BDC_CURSOR                                                                                                                          	NPAT-PATNR
                                        	0000	 	NPAT-PATNR                                                                                                                          	9000000172
                                        	0000	 	BDC_SUBSCR                                                                                                                          	SAPLNADR                                1200D_ADRESS
                                        	0000	 	BDC_SUBSCR                                                                                                                          	SAPLNADR                                0750TELEPHONE
                                        	0000	 	BDC_SUBSCR                                                                                                                          	SAPLN1_SDY_PATIENT_ADDON                0110SC_ADDON
                                        	0000	 	BDC_SUBSCR                                                                                                                          	SAPLN_SDY_PLANNING                      0100APPOINTMENT
                                        	0000	 	BDC_SUBSCR                                                                                                                          	SAPLN_SDY_PLANNING                      0110APPOINTMENT_TABSTRIP
                                        	0000	 	RNAPP_EDIT-BWIDT                                                                                                                    	27.03.2026
                                        	0000	 	RNAPP_EDIT-APPTI                                                                                                                    	19:55
                                        	0000	 	RNAPP_EDIT-ORGPF                                                                                                                    	KLINIK3
                                        	0000	 	RNAPP_EDIT-DSPTY                                                                                                                    	05
                                        	0000	 	RNAPP_EDIT-ORGFA                                                                                                                    	KLINIK
                                        	0000	 	RNAPP_EDIT-DAUER                                                                                                                    	5
                                        	0000	 	RNAPP_EDIT-STATB                                                                                                                    	P
                                        	0000	 	RNAPP_EDIT-PERNR                                                                                                                    	100001
                                        	0000	 	RNAPP_EDIT-ZIMMR                                                                                                                    	RUANG-27
                                        	0000	 	RNAPP_EDIT-BWART                                                                                                                    	PK
                                        	0000	 	RNAPP_EDIT-BEKAT                                                                                                                    	RAWJLN
                                        	0000	 	BDC_SUBSCR                                                                                                                          	SAPLN_SDY_PLANNING                      0130COMMENT
SAPLN_MDY_PLANNING                      	0100	X	                                                                                                                                    	
                                        	0000	 	BDC_OKCODE                                                                                                                          	=SAVE
                                        	0000	 	BDC_SUBSCR                                                                                                                          	SAPLN_SDY_COLLAPSIBLE                   0100PATIENT
                                        	0000	 	BDC_SUBSCR                                                                                                                          	SAPLN1_SDY_PATIENT_ADDON                0100G_CO_SUBSCREEN
                                        	0000	 	BDC_SUBSCR                                                                                                                          	SAPLN1_SDY_PATIENT_SUBSCREEN            0100SC_PATIENT
                                        	0000	 	BDC_SUBSCR                                                                                                                          	SAPLN1VPS                               0100G_PATIENT
                                        	0000	 	BDC_CURSOR                                                                                                                          	NPAT-PATNR
                                        	0000	 	BDC_SUBSCR                                                                                                                          	SAPLNADR                                1200D_ADRESS
                                        	0000	 	BDC_SUBSCR                                                                                                                          	SAPLNADR                                0750TELEPHONE
                                        	0000	 	BDC_SUBSCR                                                                                                                          	SAPLN1_SDY_PATIENT_ADDON                0110SC_ADDON
                                        	0000	 	BDC_SUBSCR                                                                                                                          	SAPLN_SDY_PLANNING                      0100APPOINTMENT
                                        	0000	 	BDC_SUBSCR                                                                                                                          	SAPLN_SDY_PLANNING                      0110APPOINTMENT_TABSTRIP
                                        	0000	 	RNAPP_EDIT-BWIDT                                                                                                                    	27.03.2026
                                        	0000	 	RNAPP_EDIT-APPTI                                                                                                                    	19:55
                                        	0000	 	RNAPP_EDIT-ORGPF                                                                                                                    	KLINIK3
                                        	0000	 	RNAPP_EDIT-DSPTY                                                                                                                    	05
                                        	0000	 	RNAPP_EDIT-ORGFA                                                                                                                    	KLINIK
                                        	0000	 	RNAPP_EDIT-DAUER                                                                                                                    	5
                                        	0000	 	RNAPP_EDIT-STATB                                                                                                                    	P
                                        	0000	 	RNAPP_EDIT-PERNR                                                                                                                    	100001
                                        	0000	 	RNAPP_EDIT-ZIMMR                                                                                                                    	RUANG-27
                                        	0000	 	RNAPP_EDIT-BWART                                                                                                                    	PK
                                        	0000	 	RNAPP_EDIT-BEKAT                                                                                                                    	RAWJLN
                                        	0000	 	BDC_SUBSCR                                                                                                                          	SAPLN_SDY_PLANNING                      0130COMMENT
